试验号,树脂含量,固化温度,碱减量程度,断裂强力,断裂伸长率,撕裂强力,透气率,透湿率,柔软度,急弹角度
基布,0,0,0,1484.79,1.2172,180.64324,201.88,3287.633,3.66,161.983
1,15wt%,100℃,0,1728.29688,1.0525365,179.656,178.76,3180.212014,1.18,148.76
1,15wt%,100℃,0,1781.9181,1.03869,178.1959,172.78,3137.809187,1.18,148.015
1,15wt%,100℃,0,1784.6099,1.1062845,170.945,186.02,4197.879859,1.1,151.29
2,15wt%,110℃,0.1,1177.0672,0.9218,115.2587,202.58,3307.420495,2.13,157
2,15wt%,110℃,0.1,1142.4154,0.8690435,121.7529,211.87,2874.911661,2.19,156.19
2,15wt%,110℃,0.1,1121.36011,0.8546,111.9441,205.58,3137.809187,2.08,159.51
3,15wt%,120℃,0.2,1182.6789,0.8781595,102.8451,122.4,2862.190813,2.94,161.5
3,15wt%,120℃,0.2,1199.74011,0.922368,97.5284,126.15,2968.19788,2.85,163.095
3,15wt%,120℃,0.2,1233.6213,0.9075785,94.5156,124.7,3010.600707,2.93,161.99
4,15wt%,130℃,0.3,1218.922,0.944376,98.43,85.72,3095.40636,3.44,170.095
4,15wt%,130℃,0.3,1265.888,0.99349305,102.33452,84.17,2968.19788,3.22,162.995
4,15wt%,130℃,0.3,1171.95447,0.9933455,105.908,94.98,2968.19788,3.64,166.635
5,20wt%,100℃,0.1,1153.19,0.8825955,118.513,313.07,2480.565371,2.05,155.35
5,20wt%,100℃,0.1,1164.56934,0.86567,104.7788,354.42,2612.014134,2.03,163.56
5,20wt%,100℃,0.1,1169.7328,0.915815,110.22,317.56,2692.579505,2.03,156.87
6,20wt%,110℃,0,1667.78772,1.073713,172.292,244.52,2777.385159,1,148.735
6,20wt%,110℃,0,1646.4522,1.038109,159.93,206.4,2586.572438,1,147.255
6,20wt%,110℃,0,1652.4389,1.0596768,147.507,236.33,2459.363958,0.98,154.86
7,20wt%,120℃,0.3,1175.12146,0.954795,106.515,138.65,2777.385159,3.13,175.7
7,20wt%,120℃,0.3,1211.408,0.884837,104.691,135.86,2522.968198,3.03,164.125
7,20wt%,120℃,0.3,1215.38928,0.934175,101.092,137.4,2374.558304,2.93,165.57
8,20wt%,130℃,0.2,1278.18457,0.98437,111.1145,142.01,2650.176678,2.87,167.855
8,20wt%,130℃,0.2,1233.107,0.867335,108.377,139.07,2756.183746,2.84,169.33
8,20wt%,130℃,0.2,1195.69958,0.984515,113.141,147.98,2734.982332,3.1,167.725
9,25wt%,100℃,0.2,1216.7758,0.905187,86.0242,161.83,2416.961131,2.22,161.565
9,25wt%,100℃,0.2,1182.962,0.860985,102.133,176.38,2459.363958,2.16,166.375
9,25wt%,100℃,0.2,1152.732,0.82352,87.651,170.3,2544.169611,2.2,161.63
10,25wt%,110℃,0.3,1187.331,0.95502,94.2686,88.81,2565.371025,2.84,169.955
10,25wt%,110℃,0.3,1266.15247,0.95963,88.7418,88.75,2671.378092,2.81,166.56
10,25wt%,110℃,0.3,1248.54871,0.957383,90.034,87.27,2671.378092,2.81,162.38
11,25wt%,120℃,0,1745.8006,1.062975,162.434,183.7,2204.946996,0.92,155.98
11,25wt%,120℃,0,1759.6982,1.1188845,139.634,181.34,2247.349823,0.9,155.965
11,25wt%,120℃,0,1734.65906,1.07497,151.931,190.8,2268.551237,0.89,151.45
12,25wt%,130℃,0.1,1293.535,0.937285,107.568,293.96,2395.759717,1.61,156.66
12,25wt%,130℃,0.1,1214.9815,0.911395,114.348,279.7,2378.798587,1.6,160.51
12,25wt%,130℃,0.1,1172.1169,0.8634035,104.756,229.18,2870.671378,1.64,161.595
13,30wt%,100℃,0.3,1228.6297,0.916954,91.924,104.83,2565.371025,2.86,162.005
13,30wt%,100℃,0.3,1298.2584,0.93341,98.146,96.95,2756.183746,2.92,159.895
13,30wt%,100℃,0.3,1249.2589,0.896775,91.0676,95.91,2544.169611,2.82,164.99
14,30wt%,110℃,0.2,1212.465,0.915375,96.6849,208.34,2098.939929,1.69,161.94
14,30wt%,110℃,0.2,1022.2735,0.923645,119.6776,223.22,2141.342756,1.7,159.805
14,30wt%,110℃,0.2,1250.4569,0.90268,114.703,212.18,2162.54417,1.73,168.25
15,30wt%,120℃,0.1,1095.557,0.77454,106.81851,308.88,2162.54417,1.47,159.665
15,30wt%,120℃,0.1,1251.78979,0.8426165,102.503,324.95,2247.349823,1.44,158.29
15,30wt%,120℃,0.1,1207.59863,0.78462,104.1257,314.28,2204.946996,1.47,157.97
16,30wt%,130℃,0,1736.265,1.04344245,141.3508,158.22,2291.872792,0.87,147.74
16,30wt%,130℃,0,1730.8907,1.0066352,148.3863,159.42,1982.332155,0.83,152.9
16,30wt%,130℃,0,1686.75049,0.9764615,146.5581,160.92,2098.939929,0.85,153.37
